GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,MRUtil,98,0,2,0,19,0,12,0,11,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,KylinReducer,169,0,2,0,60,0,10,0,9,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,SortedColumnDFSFileReader.new Comparator() {...},45,0,12,0,10,0,8,0,2,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,LookupMaterializeContext,101,0,6,0,24,0,8,0,5,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,DFSFileTableReader,370,0,44,0,75,0,33,0,11,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,DFSFileTable,134,0,4,0,33,0,10,0,8,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,CubingJob.CubingJobTypeEnum,101,0,6,0,14,0,8,0,5,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,JobBuilderSupport,431,0,20,0,67,0,41,0,31,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,LookupSnapshotBuildJob,148,0,6,0,28,0,12,0,9,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,CubingJob,874,0,64,0,170,0,62,0,30,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,SortedColumnDFSFileReader,101,0,12,0,27,0,10,0,4,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,BatchOptimizeJobCheckpointBuilder,160,0,6,0,28,0,6,0,3,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,ByteArrayWritable,249,0,24,0,54,0,30,0,18,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,SortedColumnDFSFile,127,0,8,0,27,0,11,0,7,0
Apache Kylin - Build Engine,org.apache.kylin.engine.mr,KylinMapper,175,0,2,0,61,0,10,0,9,0
