GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},16,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},16,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache.new Gauge() {...},15,0,0,0,2,0,2,0,2,0
Apache Kylin - Cache,org.apache.kylin.cache.ehcache,InstrumentedEhCacheCache,344,0,16,0,51,0,20,0,12,0
Apache Kylin - Cache,org.apache.kylin.cache.memcached,KeyHookLookup.KeyHook,123,15,14,0,32,6,13,3,6,3
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedChunkingCache.new Function() {...},0,11,0,0,0,2,0,2,0,2
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedCacheConfig,16,54,0,0,8,20,4,11,4,11
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedCache,256,410,16,20,77,90,21,23,9,17
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedMetrics,144,0,20,0,36,0,21,0,11,0
Apache Kylin - Cache,org.apache.kylin.cache.memcached,CacheStats,101,0,4,0,25,0,16,0,14,0
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedConnectionFactoryBuilder.new DefaultConnectionFactory() {...},69,163,17,14,3,24,17,23,1,23
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedConnectionFactoryBuilder,0,8,0,0,0,2,0,2,0,2
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedChunkingCache,302,366,37,25,69,66,28,15,3,9
Apache Kylin - Cache,org.apache.kylin.cache.memcached,MemcachedConnectionFactory,126,39,8,0,26,11,22,8,18,8
Apache Kylin - Cache,net.spy.memcached.protocol,TCPMemcachedNodeImpl,847,320,143,31,152,78,107,23,22,21
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,InstrumentedEhCacheCacheManager,41,90,7,5,9,19,6,5,1,4
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,MemcachedCacheManager,0,106,0,4,0,22,0,7,0,5
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,CacheConstants,3,0,0,0,1,0,1,0,1,0
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,MemcachedCacheManager.MemCachedCacheAdaptor,84,23,11,1,22,7,13,3,7,3
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,MemcachedCacheManager.MemcachedClusterHealthChecker,59,6,4,0,11,1,3,1,1,1
Apache Kylin - Cache,org.apache.kylin.cache.cachemanager,RemoteLocalFailOverCacheManager,5,43,1,3,2,12,3,7,2,6
Apache Kylin - Cache,net.spy.memcached,RefinedKetamaNodeLocator,464,137,37,11,63,30,32,8,10,6
