GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Common,org.apache.kylin.common.metrics.common,MetricsFactory,23,0,4,0,12,0,7,0,5,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.common,MetricsNameBuilder,44,0,0,0,4,0,4,0,4,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.common,MetricsConstant,3,0,0,0,1,0,1,0,1,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,MetricVariableRatioGauge,33,0,4,0,9,0,4,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new CacheLoader() {...},22,0,0,0,4,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new CacheLoader() {...},19,0,0,0,4,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new CacheLoader() {...},19,0,0,0,4,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new CacheLoader() {...},22,0,0,0,4,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new ThreadLocal() {...},10,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.new Gauge() {...},13,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics,922,0,43,0,185,0,51,0,28,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,HadoopMetrics2Reporter.Builder,14,50,0,0,4,12,2,4,2,4
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,JsonFileMetricsReporter,116,0,4,0,26,0,6,0,4,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,JsonFileMetricsReporter.new Runnable() {...},122,0,0,0,26,0,2,0,2,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,CodahaleMetrics.CodahaleMetricsScope,102,0,4,0,18,0,5,0,3,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,Metrics2Reporter,38,0,0,0,12,0,3,0,3,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,KylinObjectNameFactory,109,0,6,0,21,0,7,0,4,0
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,HadoopMetrics2Reporter,129,663,7,13,24,123,8,30,3,25
Apache Kylin - Core Common,org.apache.kylin.common.metrics.metrics2,JmxMetricsReporter,30,0,0,0,10,0,3,0,3,0
