GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator,129,0,16,0,29,0,15,0,7,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,GTScannerBenchmark2,783,0,10,0,109,0,24,0,19,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator.BytesRandomizer,24,0,0,0,6,0,2,0,2,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,GTScannerBenchmark,778,0,10,0,109,0,24,0,19,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator.Generator.new Iterator() {...},163,0,16,0,21,0,14,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator.Distribution,178,0,24,0,28,0,16,0,4,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,GTScannerBenchmark2.new SortedGTRecordGenerator.Randomizer() {...},43,0,0,0,9,0,2,0,2,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator.ColSpec,6,0,0,0,1,0,1,0,1,0
Apache Kylin - Core Cube,org.apache.kylin.gridtable.benchmark,SortedGTRecordGenerator.Generator,71,0,2,0,13,0,5,0,4,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,ComparatorEx,81,0,16,0,18,0,14,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,CubeGridTable,103,0,2,0,20,0,4,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,RecordComparator,57,0,10,0,12,0,8,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,TrimmedCubeCodeSystem.new BytesSerializer() {...},104,3,8,0,21,1,6,1,2,1
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,TrimmedDimensionSerializer,23,0,0,0,8,0,6,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,CuboidToGridTableMapping,579,0,58,0,110,0,47,0,18,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,CuboidToGridTableMapping.new Comparator() {...},20,0,0,0,4,0,2,0,2,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,ScanRangePlannerBase,230,0,42,0,67,0,28,0,7,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,CuboidToGridTableMappingExt,212,0,14,0,46,0,16,0,9,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,TrimmedDimEnc,36,0,0,0,13,0,8,0,8,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,SegmentGTStartAndEnd,145,0,14,0,28,0,11,0,4,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,CubeCodeSystem,354,6,39,1,76,1,34,1,14,1
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,RecordComparators,27,0,0,0,4,0,4,0,4,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,TrimmedCubeCodeSystem,39,56,3,3,12,17,5,3,2,3
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,RecordComparators.new ComparatorEx() {...},27,0,6,0,8,0,5,0,2,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,RecordComparators.new ComparatorEx() {...},53,0,12,0,14,0,9,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,RecordComparators.new ComparatorEx() {...},20,0,4,0,4,0,4,0,2,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,ScanRangePlannerBase.ColumnRange,348,0,53,0,66,0,37,0,9,0
Apache Kylin - Core Cube,org.apache.kylin.cube.gridtable,AsymmetricRecordComparator,24,0,0,0,7,0,6,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeInstance.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeInstance.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeManager,633,716,58,44,135,144,57,45,21,30
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeSegmentAdvisor,0,140,0,14,0,31,0,14,0,7
Apache Kylin - Core Cube,org.apache.kylin.cube,DimensionRangeInfo,35,126,6,16,7,28,8,12,3,6
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeUpdate,32,102,0,2,14,36,7,19,7,18
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeCapabilityChecker,613,0,88,0,158,0,53,0,9,0
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeSegment,632,392,50,32,146,114,80,58,49,48
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeManager.new CachedCrudAssist() {...},0,38,0,2,0,6,0,3,0,2
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeDescManager,373,209,29,9,68,45,22,12,4,11
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeManager.SegmentAssist,804,487,77,41,139,104,52,22,6,9
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeCapabilityChecker.new CapabilityResult.CapabilityInfluence() {...},7,0,0,0,3,0,3,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeInstance,766,492,113,37,179,131,109,55,42,46
Apache Kylin - Core Cube,org.apache.kylin.cube,RawQueryLastHacker,140,0,24,0,27,0,15,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeDescManager.new CachedCrudAssist() {...},14,39,1,1,1,8,1,2,0,2
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeDescManager.CubeDescSyncListener,77,6,10,0,16,1,7,1,2,1
Apache Kylin - Core Cube,org.apache.kylin.cube,CubeManager.CubeSyncListener,68,6,8,0,15,1,6,1,2,1
Apache Kylin - Core Cube,org.apache.kylin.cube.model.validation.rule,RowKeyAttrRule,10,40,4,8,4,10,4,4,0,2
Apache Kylin - Core Cube,org.apache.kylin.cube.model.validation.rule,AggregationGroupRule,200,428,23,49,29,68,20,20,0,4
Apache Kylin - Core Cube,org.apache.kylin.cube.model.validation.rule,StreamingCubeRule,71,18,14,2,15,5,8,2,0,2
Apache Kylin - Core Cube,org.apache.kylin.cube.model.validation.rule,DictionaryRule,0,8,0,0,0,3,0,3,0,3
Apache Kylin - Core Cube,org.apache.kylin.cube.model.validation.rule,FunctionRule,186,138,20,18,32,40,15,9,0,5
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,DoggedCubeBuilder.Merger,232,0,20,0,52,0,15,0,5,0
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,DoggedCubeBuilder.MergeSlot,165,0,26,0,35,0,19,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,InputConverterUnitForBaseCuboid,42,0,4,0,12,0,10,0,8,0
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,DoggedCubeBuilder.BuildOnce,254,0,26,0,70,0,19,0,6,0
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,InMemCubeBuilder.new MemoryBudgetController.MemoryConsumer() {...},14,0,0,0,3,0,3,0,3,0
Apache Kylin - Core Cube,org.apache.kylin.cube.inmemcubing,InMemCubeBuilder.new InMemCubeBuilder.ICuboidCollector() {...},29,0,0,0,4,0,2,0,2,0
