GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Job,org.apache.kylin.job.lock.zookeeper,ZookeeperDistributedLock,360,279,19,13,67,71,17,18,6,13
Apache Kylin - Core Job,org.apache.kylin.job.lock.zookeeper,ZookeeperDistributedLock.new PathChildrenCacheListener() {...},44,0,3,0,9,0,4,0,2,0
Apache Kylin - Core Job,org.apache.kylin.job.lock.zookeeper,ZookeeperDistributedLock.Factory,0,23,0,0,0,8,0,4,0,4
Apache Kylin - Core Job,org.apache.kylin.job.lock.zookeeper,ZookeeperJobLock,70,0,0,0,17,0,13,0,13,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,JobException,16,0,0,0,8,0,4,0,4,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,SchedulerException,23,0,0,0,10,0,5,0,5,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,PersistentException,23,0,0,0,10,0,5,0,5,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,IllegalStateTranferException,19,4,0,0,8,2,4,1,4,1
Apache Kylin - Core Job,org.apache.kylin.job.exception,LockException,23,0,0,0,10,0,5,0,5,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,ShellException,23,0,0,0,10,0,5,0,5,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,JobStoppedException,3,0,0,0,2,0,1,0,1,0
Apache Kylin - Core Job,org.apache.kylin.job.exception,ExecuteException,12,4,0,0,6,2,3,1,3,1
Apache Kylin - Core Job,org.apache.kylin.job.execution,DefaultChainedExecutable,178,340,23,29,40,78,25,22,10,11
Apache Kylin - Core Job,org.apache.kylin.job.execution,DefaultOutput,47,54,4,4,12,17,7,8,3,8
Apache Kylin - Core Job,org.apache.kylin.job.execution,BrokenExecutable,14,5,0,0,2,3,2,2,2,2
