GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACL.TableBlackList,0,33,0,0,0,9,0,6,0,6
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACLManager.new CachedCrudAssist() {...},17,0,0,0,3,0,2,0,2,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACL.TableACLEntry,56,156,8,16,11,36,8,14,2,8
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACL,42,103,2,4,8,23,7,11,6,9
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,UserGroup,69,0,4,0,12,0,7,0,5,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACLManager.TableACLSyncListener,32,0,2,0,7,0,3,0,2,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.acl,TableACLManager,206,0,4,0,43,0,15,0,13,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,DoubleDeltaSerializer,29,426,12,34,2,94,12,23,1,11
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType,721,12,106,0,152,5,73,3,20,3
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNCounter,134,405,26,42,26,104,26,29,3,18
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType.Factory,0,14,0,0,0,5,0,5,0,5
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNCounterSerializer,76,143,4,6,14,32,8,5,5,3
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType.new MeasureType.IAdvMeasureFiller() {...},105,0,4,0,18,0,6,0,4,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType.new MeasureIngester() {...},372,0,28,0,65,0,19,0,5,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType.new CapabilityResult.CapabilityInfluence() {...},14,0,0,0,3,0,3,0,3,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNMeasureType.new CapabilityResult.CapabilityInfluence() {...},31,0,4,0,7,0,5,0,3,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,TopNAggregator,90,0,2,0,24,0,8,0,7,0
Apache Kylin - Core Metadata,org.apache.kylin.measure.topn,Counter,46,23,0,0,13,10,5,5,5,5
Apache Kylin - Core Metadata,org.apache.kylin.metadata.util,ModelUtil,69,0,0,0,16,0,5,0,5,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.util,ModelUtil.WhereColumnVerify,117,0,6,0,23,0,9,0,6,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.util,ModelUtil.SqlVerify,26,0,0,0,8,0,2,0,2,0
Apache Kylin - Core Metadata,org.apache.kylin.metadata.cachesync,Broadcaster.Listener,5,3,0,0,5,1,5,1,5,1
