GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib,ActiveReservoirRecordFilter,4,5,0,0,2,1,2,1,2,1
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib,ActiveReservoirRecordFilter.new ActiveReservoirRecordFilter() {...},0,5,0,0,0,2,0,2,0,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib,ActiveReservoirReporter,48,7,4,0,8,2,4,2,2,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics.SparkJobMetrics,45,0,0,0,19,0,13,0,13,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,MetricsManager,293,0,18,0,69,0,18,0,9,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics.QueryExecutionMetrics,136,0,0,0,58,0,39,0,39,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics,1054,0,34,0,210,0,38,0,21,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics.SparkStageMetrics,139,0,0,0,57,0,32,0,32,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics,QuerySparkMetrics.QuerySparkMetricsRemovalListener,24,0,0,0,8,0,1,0,1,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,BlockingReservoir.ReporterRunnable,56,20,7,1,17,6,5,2,1,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,BlockingReservoir,97,179,10,10,19,50,10,14,2,12
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,TimedRecordEvent,78,0,0,0,16,0,3,0,3,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,BaseScheduledReporter.new Runnable() {...},20,0,0,0,7,0,2,0,2,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,BaseScheduledReporter,88,0,4,0,23,0,9,0,7,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,MetricsSystem,76,145,8,12,18,36,7,15,1,11
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,MetricsSystem.new Thread() {...},13,9,0,0,6,2,0,2,0,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,RecordEvent,98,209,5,7,22,58,18,24,13,23
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,StubReservoir,8,5,0,0,7,3,7,3,7,3
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,ReporterBuilder,19,0,2,0,7,0,3,0,2,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,RecordEventTimeDetail,0,160,2,2,0,31,2,2,0,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,StubSink,18,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,InstantReservoir,34,52,4,6,8,17,4,8,1,6
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,RecordEvent.RecordReserveKeyEnum,0,84,0,4,0,13,0,6,0,4
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,StubReservoirReporter.StubReservoirListener,1,8,0,0,1,2,1,2,1,2
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,AbstractActiveReservoir,35,29,2,0,13,10,5,4,4,4
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,TimePropertyEnum,7,128,2,4,3,16,3,4,1,3
Apache Kylin - Core Metrics,org.apache.kylin.metrics.lib.impl,StubReservoirReporter,3,10,0,0,3,2,3,1,3,1
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QueryPropertyEnum,7,172,2,4,3,20,3,4,1,3
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QuerySparkStageEnum,257,0,6,0,30,0,7,0,4,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QueryCubePropertyEnum,7,227,2,4,3,25,3,4,1,3
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QueryRPCPropertyEnum,7,148,2,4,3,18,3,4,1,3
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QuerySparkJobEnum,235,0,6,0,28,0,7,0,4,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,QuerySparkExecutionEnum,367,0,6,0,40,0,7,0,4,0
Apache Kylin - Core Metrics,org.apache.kylin.metrics.property,JobPropertyEnum,7,236,2,4,3,26,3,4,1,3
