GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortedIteratorMerger.new Comparator() {...},0,15,0,0,0,2,0,2,0,2
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,StorageResponseGTScatter,72,0,6,0,17,0,8,0,5,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SequentialCubeTupleIterator.new Comparator() {...},68,0,14,0,19,0,9,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,GTCubeStorageQueryRequest,101,0,0,0,40,0,20,0,20,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeTupleConverter,645,0,101,0,121,0,59,0,8,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SegmentCubeTupleIterator,296,0,26,0,73,0,21,0,8,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeScanRangePlanner,860,0,66,0,181,0,47,0,14,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortedIteratorMerger.MergedIterator,5,66,1,7,1,13,2,6,1,3
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,ScannerWorker,135,0,4,0,25,0,8,0,6,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeSegmentScanner,31,0,2,0,9,0,8,0,7,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortedIteratorMerger,0,49,0,4,0,13,0,5,0,3
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SegmentCubeTupleIterator.new IGTScanner() {...},20,0,0,0,4,0,4,0,4,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SegmentCubeTupleIterator.new UnmodifiableIterator() {...},79,0,4,0,9,0,5,0,3,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortedIteratorMergerWithLimit.MergedIteratorWithLimit,21,164,4,22,6,36,5,12,1,3
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortMergedPartitionResultIterator,109,0,12,0,29,0,10,0,4,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,GTCubeStorageQueryBase,1270,0,174,0,295,0,109,0,22,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,PeekingImpl,12,51,3,7,3,14,3,7,1,4
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SequentialCubeTupleIterator,239,0,20,0,53,0,19,0,9,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,DummyPartitionStreamer,10,0,0,0,5,0,3,0,3,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortMergedPartitionResultIterator.new Comparator() {...},15,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,SortedIteratorMergerWithLimit,0,20,0,0,0,5,0,2,0,2
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,StorageResponseGTScatter.new Function() {...},17,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,PartitionResultIterator,37,0,2,0,10,0,4,0,3,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeTupleConverter.new CubeTupleConverter.IDerivedColumnFiller() {...},26,0,0,0,3,0,2,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeScanRangePlanner.new Comparator() {...},15,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.gtrecord,CubeTupleConverter.new CubeTupleConverter.IDerivedColumnFiller() {...},7,0,0,0,2,0,2,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.translate,DerivedFilterTranslator.SingleColumnTuple,26,0,2,0,6,0,3,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.translate,FuzzyValueCombination,8,206,1,23,2,50,2,17,1,6
Apache Kylin - Core Storage,org.apache.kylin.storage.translate,DerivedFilterTranslator,552,0,58,0,101,0,37,0,8,0
Apache Kylin - Core Storage,org.apache.kylin.storage,StorageFactory,22,35,2,4,7,10,6,3,4,2
Apache Kylin - Core Storage,org.apache.kylin.storage,StorageContext,186,93,14,4,63,30,42,10,34,9
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridStorageQuery,74,0,8,0,12,0,6,0,2,0
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridStorage,13,0,0,0,3,0,3,0,3,0
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridInstance,232,296,20,26,54,66,38,17,22,10
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridManager.HybridSyncListener,120,6,14,0,22,1,9,1,2,1
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridInstance.new Comparator() {...},26,26,6,2,6,6,4,2,0,2
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridManager,90,102,8,0,18,17,9,7,5,7
Apache Kylin - Core Storage,org.apache.kylin.storage.hybrid,HybridManager.new CachedCrudAssist() {...},0,17,0,0,0,3,0,2,0,2
Apache Kylin - Core Storage,org.apache.kylin.storage.util,SizeOfUtil,28,0,0,0,5,0,4,0,4,0
Apache Kylin - Core Storage,org.apache.kylin.storage.cache,TsConditionExtractor,135,0,29,0,36,0,20,0,3,0
