GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - Query,org.apache.kylin.query.pushdown,PushdownRunnerSDKImpl,3,0,0,0,1,0,1,0,1,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationChooser.RealizationCost,40,0,2,0,12,0,4,0,3,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationCheck,116,68,21,5,24,18,21,7,10,5
Apache Kylin - Query,org.apache.kylin.query.routing,QueryRouter,262,0,28,0,58,0,19,0,5,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationCheck.IncapableType,0,194,0,0,0,2,0,1,0,1
Apache Kylin - Query,org.apache.kylin.query.routing,Candidate,86,0,4,0,28,0,13,0,11,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationChooser,519,0,58,0,118,0,38,0,9,0
Apache Kylin - Query,org.apache.kylin.query.routing,RoutingRule,196,0,16,0,42,0,16,0,8,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationChooser.new Comparator() {...},32,0,2,0,7,0,3,0,2,0
Apache Kylin - Query,org.apache.kylin.query.routing,RealizationCheck.IncapableReason,404,97,69,18,95,24,66,8,18,6
Apache Kylin - Query,org.apache.kylin.query.relnode.visitor,TupleFilterVisitor,574,151,100,12,141,35,71,6,10,2
Apache Kylin - Query,org.apache.kylin.query.relnode.visitor,TupleExpressionVisitor,446,0,56,0,92,0,40,0,10,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,OLAPQuery.EnumeratorTypeEnum,44,0,0,0,5,0,1,0,1,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,OLAPQuery,104,0,15,0,16,0,13,0,4,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,DictionaryEnumerator,214,0,28,0,41,0,23,0,9,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,HiveEnumerator,161,0,10,0,42,0,12,0,7,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,OLAPQuery.EmptyEnumerator,12,0,0,0,7,0,5,0,5,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,LookupTableEnumerator,213,0,16,0,50,0,15,0,7,0
Apache Kylin - Query,org.apache.kylin.query.enumerator,OLAPEnumerator,127,0,14,0,42,0,15,0,8,0
Apache Kylin - Query,org.apache.kylin.query.routing.rules,RemoveUncapableRealizationsRule,29,0,4,0,9,0,4,0,2,0
Apache Kylin - Query,org.apache.kylin.query.routing.rules,RealizationSortRule,53,0,2,0,9,0,4,0,3,0
Apache Kylin - Query,org.apache.kylin.query.routing.rules,RemoveBlackoutRealizationsRule,114,0,16,0,31,0,13,0,5,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPAggregateRule,74,0,6,0,16,0,7,0,4,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPProjectRule.new Supplier() {...},25,0,0,0,2,0,2,0,2,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPLimitRule,71,0,6,0,14,0,6,0,3,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPFilterRule,41,0,0,0,9,0,3,0,3,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPValuesRule,23,0,0,0,5,0,3,0,3,0
Apache Kylin - Query,org.apache.kylin.query.optrule,OLAPWindowRule,42,0,0,0,8,0,3,0,3,0
